district,state,district_census_code,state_census_code,total,rural,urban,indicator_number,indicator_name,indicator_category
Kupwara,Jammu & Kashmir,1,1,20.5,16.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Badgam,Jammu & Kashmir,2,1,31.4,29.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Leh(Ladakh),Jammu & Kashmir,3,1,19.2,19.2,19.2,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kargil,Jammu & Kashmir,4,1,13.6,11.2,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Punch,Jammu & Kashmir,5,1,21.1,19.9,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Rajouri,Jammu & Kashmir,6,1,21,19.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kathua,Jammu & Kashmir,7,1,24.6,23.3,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Baramula,Jammu & Kashmir,8,1,24.5,21.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Bandipore,Jammu & Kashmir,9,1,34.1,32.9,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Srinagar,Jammu & Kashmir,10,1,40.8,,41.2,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Ganderbal,Jammu & Kashmir,11,1,33.8,31.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Pulwama,Jammu & Kashmir,12,1,34,33.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Shupiyan,Jammu & Kashmir,13,1,31.3,30.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Anantnag,Jammu & Kashmir,14,1,33.1,29.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kulgam,Jammu & Kashmir,15,1,31.4,30,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Doda,Jammu & Kashmir,16,1,18.7,17,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Ramban,Jammu & Kashmir,17,1,17.8,16.6,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kishtwar,Jammu & Kashmir,18,1,14.5,12.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
