district,state,district_census_code,state_census_code,total,rural,urban,indicator_number,indicator_name,indicator_category,total_filled,rural_filled,urban_filled,total_corrected,rural_corrected,urban_corrected
Kupwara,Jammu & Kashmir,1,1,20.5,16.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),20.5,16.1,0,20.5,16.1,0
Badgam,Jammu & Kashmir,2,1,31.4,29.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),31.4,29.1,0,31.4,29.1,0
Leh(Ladakh),Jammu & Kashmir,3,1,19.2,19.2,19.2,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),19.2,19.2,19.2,19.2,19.2,19.2
Kargil,Jammu & Kashmir,4,1,13.6,11.2,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),13.6,11.2,0,13.6,11.2,0
Punch,Jammu & Kashmir,5,1,21.1,19.9,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),21.1,19.9,0,21.1,19.9,0
Rajouri,Jammu & Kashmir,6,1,21.0,19.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),21.0,19.4,0,21.0,19.4,0
Kathua,Jammu & Kashmir,7,1,24.6,23.3,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),24.6,23.3,0,24.6,23.3,0
Baramula,Jammu & Kashmir,8,1,24.5,21.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),24.5,21.1,0,24.5,21.1,0
Bandipore,Jammu & Kashmir,9,1,34.1,32.9,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),34.1,32.9,0,34.1,32.9,0
Srinagar,Jammu & Kashmir,10,1,40.8,,41.2,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),40.8,0,41.2,40.8,0,41.2
Ganderbal,Jammu & Kashmir,11,1,33.8,31.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),33.8,31.1,0,33.8,31.1,0
Pulwama,Jammu & Kashmir,12,1,34.0,33.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),34.0,33.7,0,34.0,33.7,0
Shupiyan,Jammu & Kashmir,13,1,31.3,30.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),31.3,30.8,0,31.3,30.8,0
Anantnag,Jammu & Kashmir,14,1,33.1,29.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),33.1,29.8,0,33.1,29.8,0
Kulgam,Jammu & Kashmir,15,1,31.4,30,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),31.4,30,0,31.4,30,0
Doda,Jammu & Kashmir,16,1,18.7,17,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),18.7,17,0,18.7,17,0
Ramban,Jammu & Kashmir,17,1,17.8,16.6,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),17.8,16.6,0,17.8,16.6,0
Kishtwar,Jammu & Kashmir,18,1,14.5,12.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),14.5,12.8,0,14.5,12.8,0
Udhampur,Jammu & Kashmir,19,1,20.3,16.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),20.3,16.4,0,20.3,16.4,0
Reasi,Jammu & Kashmir,20,1,16.5,15.6,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),16.5,15.6,0,16.5,15.6,0
Jammu,Jammu & Kashmir,21,1,36.9,29.6,45,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),36.9,29.6,45,36.9,29.6,45
Samba,Jammu & Kashmir,22,1,35.3,34.6,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),35.3,34.6,0,35.3,34.6,0
Chamba,Himachal Pradesh,23,2,20.8,18.6,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),20.8,18.6,0,20.8,18.6,0
