district,district_census_code,state,rural_BMIM,rural_BMIW,rural_BPM,rural_BPW,rural_SUGM,rural_SUGW,rural_BMI_show,rural_BP_show,rural_SUG_show,rural_ALL_show
Adilabad,532,Telangana,6.2,11.6,9.1,11.1,4.9,4.5,no,no,no,no
Agra,146,Uttar Pradesh,15.1,12.2,7.1000000000000005,4.2,5.1,2.8,no,no,no,no
Ahmadabad,474,Gujarat,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Ahmednagar,522,Maharashtra,15.1,13.9,13.9,6.699999999999998,2.7,4.4,yes,no,no,no
Aizawl,283,Mizoram,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Ajmer,119,Rajasthan,13.9,11.6,13.3,5.3,7.4,5.4,no,no,yes,no
Akola,501,Maharashtra,7.7,14.3,11.6,9.9,9.3,4.3,no,no,no,no
Alappuzha,598,Kerala,26.8,36.8,10.0,6.9,13.6,8.3,yes,no,yes,no
Aligarh,143,Uttar Pradesh,6.4,13.6,6.3,4.6,13.1,4.5,no,no,no,no
Alirajpur,465,Madhya Pradesh,6.0,5.1,12.7,9.0,7.4,4.2,no,yes,no,no
Allahabad,175,Uttar Pradesh,6.9,14.4,7.6,6.4,3.3,3.3,no,no,no,no
Almora,64,Uttarakhand,13.8,7.7,21.9,9.0,6.5,4.6,no,yes,no,no
Alwar,104,Rajasthan,18.1,10.9,13.4,7.7,8.4,2.4,no,no,no,no
Ambala,70,Haryana,7.1,13.3,8.0,8.1,5.7,3.6,no,no,no,no
Ambedkar Nagar,178,Uttar Pradesh,10.7,11.7,8.399999999999999,8.1,4.9,2.8,no,no,no,no
Amravati,503,Maharashtra,17.6,11.7,16.0,10.5,10.2,5.5,no,yes,yes,no
Amreli,480,Gujarat,22.5,25.7,12.4,8.5,9.2,6.0,yes,yes,yes,yes
Amritsar,49,Punjab,33.0,30.1,16.3,15.0,7.2,6.2,yes,yes,yes,yes
Anand,482,Gujarat,9.6,12.5,24.7,13.7,8.7,5.2,no,yes,yes,no
Anantapur,553,Andhra Pradesh,20.2,20.1,19.3,10.8,10.6,5.6,yes,yes,yes,yes
Anantnag,14,Jammu & Kashmir,11.3,29.8,10.6,15.5,3.6,6.6,no,no,no,no
Anjaw,260,Arunachal Pradesh,24.7,18.4,37.6,22.3,9.5,4.6,yes,yes,no,no
Anugul,384,Odisha,10.7,13.1,23.0,12.0,9.7,5.3,no,yes,yes,no
Anuppur,461,Madhya Pradesh,3.4,4.6,10.4,8.4,7.2,4.8,no,no,no,no
Araria,209,Bihar,6.1,4.6,6.1,6.9,6.6,4.1,no,no,no,no
Ariyalur,616,Tamil Nadu,29.0,20.8,24.4,7.3,10.5,7.4,yes,no,yes,no
Arwal,240,Bihar,6.1,7.8,3.9,5.4,7.6,4.1,no,no,no,no
Ashoknagar,459,Madhya Pradesh,6.6,8.3,5.5,5.2,3.1,1.6,no,no,no,no
Auraiya,162,Uttar Pradesh,5.9,9.4,6.7,4.1,0.0,2.4,no,no,no,no
Aurangabad,235,Bihar,21.6,10.7,4.2,7.899999999999999,20.2,5.2,no,no,yes,no
Aurangabad,515,Maharashtra,8.7,15.8,10.0,9.8,4.8,2.8,no,no,no,no
Azamgarh,191,Uttar Pradesh,13.9,13.7,8.899999999999997,7.399999999999999,5.3,4.5,yes,no,no,no
Badgam,2,Jammu & Kashmir,13.7,29.1,16.6,9.7,3.4,6.9,yes,yes,no,no
Bagalkot,556,Karnataka,8.9,12.8,11.8,8.2,3.4,3.4,no,no,no,no
Bageshwar,63,Uttarakhand,16.7,9.7,16.7,5.9,12.5,4.3,no,no,no,no
Baghpat,139,Uttar Pradesh,12.1,23.1,9.8,4.9,10.0,7.2,no,no,yes,no
Bahraich,180,Uttar Pradesh,11.9,9.1,14.2,13.7,15.3,7.8,no,yes,yes,no
Baksa,324,Assam,7.6,15.1,24.9,18.6,7.4,5.5,no,yes,yes,no
Balaghat,457,Madhya Pradesh,1.7,5.4,7.8,7.8,5.5,4.5,no,no,no,no
Balangir,393,Odisha,9.5,9.0,11.1,8.6,10.1,6.6,no,no,yes,no
Baleshwar,377,Odisha,19.2,12.2,16.4,9.2,15.4,8.3,no,yes,yes,no
Ballia,193,Uttar Pradesh,11.9,16.8,12.8,10.4,8.0,5.2,no,yes,yes,no
Balrampur,182,Uttar Pradesh,9.1,9.6,21.9,14.3,10.0,7.7,no,yes,yes,no
Banaskantha,469,Gujarat,13.2,9.0,10.4,3.5,6.9,3.1,no,no,no,no
Banda,170,Uttar Pradesh,5.2,6.4,3.9,3.8,1.0,1.0,no,no,no,no
Bandipore,9,Jammu & Kashmir,19.3,32.9,8.7,9.7,4.1,4.3,yes,no,no,no
Bangalore,572,Karnataka,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Bangalore Rural,583,Karnataka,20.9,20.0,24.5,6.6,4.9,6.4,yes,no,no,no
Banka,225,Bihar,12.4,6.0,5.7,3.7,6.6,3.7,no,no,no,no
Bankura,339,West Bengal,9.3,7.9,7.7,7.8,9.4,7.3,no,no,yes,no
Banswara,125,Rajasthan,7.0,7.0,5.1000000000000005,3.4,8.1,4.4,no,no,no,no
Bara Banki,176,Uttar Pradesh,8.3,11.0,16.099999999999998,8.5,6.1,3.6,no,yes,no,no
Baramula,8,Jammu & Kashmir,18.6,21.1,12.2,8.5,3.7,2.9,yes,no,no,no
Baran,128,Rajasthan,5.3,7.6,6.700000000000001,5.4,7.4,4.4,no,no,no,no
Barddhaman,335,West Bengal,6.4,11.8,10.6,11.9,9.1,7.3,no,no,yes,no
Bareilly,150,Uttar Pradesh,6.0,15.7,6.1000000000000005,7.299999999999999,13.0,7.7,no,no,yes,no
Bargarh,370,Odisha,16.6,13.0,15.8,7.0,9.5,5.2,yes,no,yes,no
Barmer,115,Rajasthan,14.2,9.8,12.1,6.5,4.1,2.8,no,no,no,no
Barnala,54,Punjab,20.0,31.8,34.9,24.6,13.0,5.6,yes,yes,yes,yes
Barpeta,303,Assam,14.4,11.5,30.4,21.4,6.3,5.2,no,yes,no,no
Barwani,441,Madhya Pradesh,4.0,6.7,10.5,11.8,5.0,4.5,no,no,no,no
Bastar,414,Chhattisgarh,2.2,2.4,9.0,9.7,9.0,5.9,no,no,yes,no
Basti,185,Uttar Pradesh,9.4,14.6,18.9,12.1,11.6,12.8,no,yes,yes,no
Bathinda,46,Punjab,24.7,23.1,12.4,12.2,4.5,4.9,yes,yes,no,no
Baudh,391,Odisha,13.6,8.4,9.7,7.2,12.5,5.1,no,no,yes,no
Begusarai,222,Bihar,15.9,8.4,10.4,4.3,5.5,2.4,no,no,no,no
Belgaum,555,Karnataka,22.8,18.6,9.4,9.500000000000002,4.7,4.9,yes,no,no,no
